Wavelength (nm)	Normal incidence	30 deg incidence		40 deg incidence		50 deg incidence		60 deg incidence		70 deg incidence	
		S-polarization	P-polarization	S-polarization	P-polarization	S-polarization	P-polarization	S-polarization	P-polarization	S-polarization	P-polarization
374	13.8193	17.607	11.391	21.3033	9.6662	27.2205	8.0731	36.5253	8.3477	50.715	15.6438
375	13.8894	17.6864	11.4609	21.3897	9.7331	27.3151	8.1318	36.6267	8.3906	50.8159	15.668
376	13.962	17.7684	11.5328	21.479	9.8017	27.4128	8.1919	36.7312	8.4347	50.9197	15.6932
377	14.0362	17.8523	11.606	21.5703	9.8713	27.5126	8.2529	36.8379	8.4796	51.0254	15.7193
378	14.1129	17.9389	11.6811	21.6644	9.9426	27.6154	8.3153	36.9476	8.5256	51.1338	15.746
379	14.1917	18.0278	11.7579	21.7611	10.0152	27.7208	8.3787	37.0599	8.5724	51.2444	15.7731
380	14.2722	18.1187	11.836	21.8598	10.089	27.8284	8.443	37.1743	8.6199	51.3569	15.8009
381	14.3556	18.2127	11.9163	21.9618	10.1644	27.9393	8.5087	37.292	8.6682	51.4721	15.8286
382	14.4407	18.3086	11.9979	22.0658	10.241	28.0523	8.5751	37.4117	8.7171	51.5889	15.8566
383	14.5278	18.4066	12.081	22.172	10.3187	28.1677	8.6423	37.5336	8.7666	51.7075	15.8848
384	14.6173	18.5073	12.1658	22.281	10.3978	28.2857	8.7105	37.658	8.8165	51.828	15.9125
385	14.7084	18.6096	12.2518	22.3917	10.4777	28.4056	8.7794	37.7841	8.8668	51.9498	15.9404
386	14.8016	18.7142	12.3393	22.5047	10.5588	28.5277	8.849	37.9123	8.9174	52.0729	15.9677
387	14.8964	18.8206	12.428	22.6196	10.6408	28.6517	8.919	38.042	8.9681	52.1971	15.9944
388	14.9927	18.9285	12.5177	22.7361	10.7235	28.7772	8.9897	38.1731	9.0191	52.3222	16.021
389	15.0906	19.0381	12.6085	22.8542	10.8068	28.9043	9.0604	38.3054	9.0696	52.4477	16.0462
390	15.1895	19.1488	12.6998	22.9733	10.8905	29.0322	9.1313	38.4383	9.1201	52.5734	16.0708
391	15.2894	19.2604	12.7917	23.0934	10.9746	29.1611	9.2024	38.5718	9.1705	52.6992	16.0949
392	15.3896	19.3722	12.8835	23.2136	11.0582	29.2898	9.2726	38.7048	9.2197	52.8238	16.117
393	15.4902	19.4845	12.9755	23.3341	11.1419	29.4187	9.3429	38.8378	9.2688	52.9483	16.139
394	15.5909	19.5968	13.0672	23.4546	11.2252	29.5474	9.4126	38.9703	9.3173	53.0717	16.1599
395	15.6913	19.7086	13.1585	23.5745	11.3079	29.6754	9.4816	39.1017	9.365	53.1937	16.1798
396	15.7919	19.8206	13.2498	23.6945	11.3905	29.8033	9.5505	39.233	9.4126	53.3153	16.1996
397	15.8917	19.9316	13.3401	23.8134	11.472	29.9299	9.6183	39.3626	9.4591	53.4351	16.2181
398	15.9912	20.0423	13.43	23.9318	11.5532	30.0558	9.6857	39.4914	9.5053	53.5538	16.2364
399	16.0907	20.1527	13.5197	24.05	11.634	30.1814	9.7528	39.6197	9.5513	53.6719	16.2545
400	16.1888	20.2617	13.608	24.1665	11.7135	30.3051	9.8186	39.7459	9.5961	53.7876	16.2715
401	16.2868	20.3705	13.6962	24.2827	11.7928	30.4284	9.8842	39.8715	9.6409	53.9028	16.2887
402	16.3841	20.4784	13.7836	24.398	11.8714	30.5507	9.9492	39.996	9.6852	54.0168	16.3056
403	16.4805	20.5852	13.87	24.512	11.949	30.6715	10.0134	40.1189	9.7289	54.1291	16.3222
404	16.5766	20.6917	13.9562	24.6257	12.0264	30.7919	10.0773	40.2413	9.7726	54.2408	16.3389
405	16.6716	20.7969	14.0413	24.7379	12.1027	30.9108	10.1404	40.362	9.8157	54.3509	16.3554
406	16.7659	20.9014	14.1257	24.8494	12.1785	31.0287	10.203	40.4817	9.8585	54.4601	16.372
407	16.86	21.0056	14.2099	24.9604	12.254	31.1462	10.2655	40.6009	9.9014	54.5687	16.3889
408	16.9528	21.1082	14.2928	25.0698	12.3284	31.2619	10.327	40.7183	9.9436	54.6756	16.4057
409	17.0453	21.2106	14.3756	25.1789	12.4026	31.3773	10.3884	40.8352	9.986	54.7821	16.4229
410	17.1373	21.3124	14.4578	25.2874	12.4763	31.4919	10.4496	40.9514	10.0284	54.8879	16.4405
411	17.2284	21.4132	14.5392	25.3948	12.5494	31.6054	10.5102	41.0665	10.0706	54.9928	16.4585
412	17.3194	21.5138	14.6205	25.502	12.6224	31.7188	10.5708	41.1814	10.113	55.0974	16.477
413	17.4099	21.6138	14.7013	25.6085	12.6949	31.8313	10.6312	41.2955	10.1555	55.2014	16.4961
414	17.5	21.7134	14.7819	25.7146	12.7673	31.9435	10.6915	41.4092	10.1982	55.3051	16.5159
415	17.5901	21.8131	14.8624	25.8207	12.8397	32.0556	10.752	41.523	10.2412	55.4088	16.5364
416	17.6799	21.9123	14.9427	25.9265	12.9119	32.1674	10.8125	41.6364	10.2846	55.5124	16.5579
417	17.77	22.0119	15.0233	26.0326	12.9845	32.2796	10.8733	41.7502	10.3286	55.6164	16.5802
418	17.8604	22.1118	15.1042	26.139	13.0574	32.3921	10.9346	41.8644	10.3732	55.7208	16.6035
419	17.9514	22.2124	15.1856	26.2461	13.1309	32.5053	10.9966	41.9794	10.4186	55.8259	16.6281
420	18.0429	22.3136	15.2676	26.3539	13.2049	32.6193	11.0591	42.095	10.4647	55.9317	16.6534
421	18.1353	22.4156	15.3504	26.4626	13.2796	32.7341	11.1223	42.2116	10.5116	56.0383	16.6797
422	18.2285	22.5186	15.4339	26.5722	13.3551	32.85	11.1863	42.3292	10.5593	56.1458	16.7069
423	18.3225	22.6225	15.5182	26.6827	13.4312	32.9667	11.2509	42.4476	10.6077	56.254	16.7348
424	18.4177	22.7275	15.6034	26.7945	13.5084	33.0848	11.3165	42.5672	10.657	56.3633	16.7637
425	18.5137	22.8335	15.6896	26.9073	13.5863	33.2038	11.3828	42.6878	10.707	56.4733	16.7931
426	18.6107	22.9405	15.7765	27.0211	13.665	33.3239	11.4498	42.8094	10.7577	56.5841	16.8233
427	18.7089	23.0488	15.8646	27.1363	13.7447	33.4453	11.5178	42.9322	10.8091	56.696	16.854
428	18.808	23.1581	15.9534	27.2524	13.8252	33.5677	11.5864	43.0559	10.8613	56.8084	16.8853
429	18.9082	23.2685	16.0432	27.3696	13.9065	33.6912	11.6559	43.1806	10.9141	56.9217	16.917
430	19.0095	23.3801	16.1341	27.4881	13.9888	33.8159	11.7261	43.3064	10.9675	57.0358	16.9492
431	19.1117	23.4926	16.2257	27.6075	14.0718	33.9414	11.797	43.433	11.0215	57.1504	16.9818
432	19.2151	23.6063	16.3184	27.7282	14.1558	34.0682	11.8688	43.5606	11.0762	57.2657	17.0146
433	19.3194	23.721	16.4119	27.8498	14.2405	34.1959	11.9411	43.689	11.1313	57.3815	17.0476
434	19.4246	23.8366	16.5062	27.9723	14.3259	34.3245	12.0141	43.8181	11.187	57.4978	17.081
435	19.5309	23.9534	16.6015	28.096	14.4122	34.4541	12.0879	43.9481	11.2431	57.6146	17.1143
436	19.638	24.0709	16.6975	28.2204	14.4992	34.5844	12.1621	44.0786	11.2996	57.7317	17.1477
437	19.746	24.1893	16.7942	28.3456	14.5868	34.7155	12.2369	44.2097	11.3565	57.849	17.1812
438	19.8547	24.3085	16.8917	28.4717	14.675	34.8472	12.3123	44.3413	11.4136	57.9666	17.2145
439	19.9642	24.4285	16.9897	28.5984	14.7638	34.9796	12.3881	44.4733	11.4711	58.0842	17.2479
440	20.0744	24.5491	17.0885	28.7257	14.8532	35.1124	12.4643	44.6057	11.5288	58.2019	17.2809
441	20.1852	24.6702	17.1877	28.8535	14.943	35.2457	12.5408	44.7382	11.5865	58.3194	17.3136
442	20.2965	24.7919	17.2874	28.9819	15.0332	35.3793	12.6177	44.8709	11.6446	58.437	17.3464
443	20.4083	24.9139	17.3874	29.1104	15.1237	35.513	12.6947	45.0035	11.7024	58.5539	17.3783
444	20.5204	25.0363	17.4878	29.2393	15.2144	35.6469	12.772	45.136	11.7603	58.6707	17.41
445	20.6328	25.1589	17.5884	29.3683	15.3054	35.7808	12.8493	45.2684	11.8182	58.787	17.4413
446	20.7453	25.2814	17.6891	29.4971	15.3964	35.9144	12.9266	45.4001	11.8757	58.9024	17.4716
447	20.8579	25.4041	17.7898	29.6259	15.4874	36.0478	13.0038	45.5316	11.9332	59.0174	17.5017
448	20.9703	25.5263	17.8903	29.7542	15.5782	36.1806	13.0808	45.6621	11.9901	59.1312	17.5308
449	21.0823	25.648	17.9905	29.8819	15.6686	36.3125	13.1573	45.7917	12.0466	59.2439	17.5591
450	21.1942	25.7695	18.0906	30.0093	15.7589	36.4441	13.2338	45.9206	12.1028	59.3558	17.5871
451	21.3051	25.8899	18.1897	30.1354	15.8483	36.574	13.3093	46.0478	12.158	59.4659	17.6136
452	21.4156	26.0097	18.2885	30.2608	15.9374	36.7033	13.3845	46.1742	12.213	59.575	17.6398
453	21.5256	26.1289	18.3868	30.3856	16.0261	36.8317	13.4593	46.2995	12.2675	59.6831	17.6654
454	21.6345	26.2468	18.4841	30.5088	16.1138	36.9584	13.5331	46.423	12.321	59.7893	17.6899
455	21.743	26.3642	18.5811	30.6315	16.2011	37.0845	13.6067	46.5457	12.3743	59.8948	17.714
456	21.8506	26.4805	18.6771	30.7529	16.2877	37.2091	13.6795	46.6669	12.4268	59.9986	17.7374
457	21.9572	26.5957	18.7723	30.8731	16.3734	37.3324	13.7516	46.7866	12.4787	60.1011	17.7601
458	22.0633	26.7103	18.8672	30.9927	16.4588	37.4549	13.8234	46.9055	12.5303	60.2027	17.7825
459	22.1681	26.8234	18.9607	31.1106	16.543	37.5756	13.8941	47.0225	12.5809	60.3025	17.804
460	22.2722	26.9357	19.0537	31.2276	16.6267	37.6953	13.9644	47.1384	12.6312	60.4012	17.8252
461	22.3757	27.0472	19.1461	31.3437	16.7099	37.8141	14.0342	47.2532	12.681	60.499	17.846
462	22.4777	27.1571	19.2372	31.4581	16.7919	37.931	14.1029	47.3661	12.73	60.595	17.866
463	22.5792	27.2664	19.3279	31.5718	16.8735	38.0471	14.1713	47.4783	12.7787	60.6902	17.8859
464	22.6798	27.3746	19.4177	31.6843	16.9543	38.1619	14.239	47.589	12.8268	60.7841	17.9052
465	22.7792	27.4816	19.5065	31.7955	17.0342	38.2753	14.3059	47.6983	12.8742	60.8767	17.9242
466	22.8782	27.5879	19.5949	31.9061	17.1137	38.388	14.3725	47.8069	12.9215	60.9686	17.943
467	22.9758	27.6929	19.6821	32.015	17.1921	38.499	14.4382	47.9138	12.968	61.059	17.9614
468	23.0728	27.797	19.7687	32.1231	17.27	38.6091	14.5034	48.0196	13.0142	61.1485	17.9795
469	23.1691	27.9004	19.8548	32.2305	17.3475	38.7184	14.5683	48.1247	13.0601	61.2372	17.9975
470	23.2641	28.0023	19.9397	32.3363	17.4238	38.826	14.6321	48.2281	13.1053	61.3245	18.0152
471	23.3586	28.1038	20.0241	32.4414	17.4998	38.9329	14.6958	48.3308	13.1504	61.4112	18.0328
472	23.4524	28.2042	20.1079	32.5456	17.5752	39.0389	14.7589	48.4325	13.195	61.4969	18.0502
473	23.5451	28.3037	20.1908	32.6487	17.6497	39.1436	14.8213	48.533	13.2392	61.5817	18.0675
474	23.6374	28.4026	20.2733	32.7512	17.724	39.2477	14.8836	48.6329	13.2834	61.6659	18.0849
475	23.7288	28.5004	20.355	32.8526	17.7975	39.3507	14.9451	48.7316	13.327	61.7491	18.1021
476	23.8195	28.5976	20.4361	32.9532	17.8705	39.4528	15.0063	48.8296	13.3705	61.8316	18.1193
477	23.9098	28.6943	20.5169	33.0533	17.9433	39.5545	15.0674	48.927	13.4138	61.9137	18.1366
478	23.9991	28.7898	20.5967	33.1523	18.0152	39.6549	15.1277	49.0232	13.4568	61.9947	18.154
479	24.088	28.885	20.6763	33.2508	18.0869	39.7549	15.1879	49.1191	13.4997	62.0755	18.1714
480	24.1765	28.9796	20.7555	33.3488	18.1583	39.8542	15.2478	49.2143	13.5425	62.1557	18.189
481	24.2643	29.0736	20.8341	33.446	18.2291	39.9528	15.3074	49.3087	13.5851	62.2353	18.2068
482	24.3519	29.1672	20.9126	33.5429	18.2999	40.0511	15.3669	49.4029	13.6278	62.3146	18.2248
483	24.439	29.2603	20.9906	33.6393	18.3702	40.1488	15.4261	49.4965	13.6704	62.3936	18.243
484	24.5258	29.3531	21.0684	33.7353	18.4404	40.2462	15.4853	49.5897	13.7131	62.4722	18.2615
485	24.6125	29.4458	21.1461	33.8311	18.5106	40.3434	15.5444	49.6828	13.7559	62.5507	18.2803
486	24.6988	29.5381	21.2235	33.9266	18.5805	40.4401	15.6035	49.7755	13.7987	62.629	18.2995
487	24.7851	29.6303	21.3009	34.0219	18.6504	40.5368	15.6626	49.8681	13.8416	62.7071	18.3189
488	24.8713	29.7224	21.3783	34.1171	18.7203	40.6333	15.7217	49.9605	13.8847	62.7851	18.3386
489	24.9573	29.8143	21.4555	34.2122	18.7902	40.7296	15.7808	50.0528	13.9279	62.863	18.3586
490	25.0434	29.9061	21.5327	34.3071	18.8601	40.8258	15.84	50.1449	13.9713	62.9408	18.3789
491	25.1293	29.9979	21.6099	34.402	18.9299	40.9219	15.8993	50.2369	14.0148	63.0184	18.3996
492	25.2152	30.0896	21.6871	34.4967	18.9998	41.0179	15.9586	50.3288	14.0585	63.096	18.4205
493	25.3011	30.1813	21.7644	34.5915	19.0698	41.1138	16.018	50.4207	14.1023	63.1736	18.4416
494	25.387	30.2729	21.8416	34.6862	19.1398	41.2097	16.0775	50.5124	14.1463	63.2511	18.4632
495	25.4729	30.3645	21.9189	34.7808	19.2098	41.3055	16.1371	50.6041	14.1904	63.3285	18.4849
496	25.5588	30.4562	21.9962	34.8755	19.28	41.4013	16.1969	50.6958	14.2348	63.4059	18.5069
497	25.6448	30.5478	22.0736	34.9702	19.3502	41.4971	16.2567	50.7874	14.2793	63.4832	18.5292
498	25.7308	30.6395	22.1511	35.0648	19.4205	41.5929	16.3166	50.879	14.3239	63.5605	18.5518
499	25.8168	30.7312	22.2286	35.1595	19.4908	41.6886	16.3767	50.9706	14.3688	63.6377	18.5746
500	25.9029	30.823	22.3062	35.2542	19.5613	41.7844	16.4369	51.0621	14.4138	63.7149	18.5976
501	25.9891	30.9148	22.3839	35.3489	19.6319	41.8801	16.4972	51.1536	14.459	63.7921	18.6209
502	26.0753	31.0066	22.4616	35.4436	19.7025	41.9758	16.5577	51.245	14.5043	63.8692	18.6445
503	26.1615	31.0984	22.5395	35.5383	19.7733	42.0716	16.6182	51.3365	14.5498	63.9463	18.6682
504	26.2479	31.1903	22.6174	35.6331	19.8442	42.1673	16.6789	51.4279	14.5955	64.0233	18.6921
505	26.3343	31.2823	22.6954	35.7279	19.9152	42.2631	16.7397	51.5193	14.6414	64.1003	18.7163
506	26.4208	31.3743	22.7736	35.8228	19.9863	42.3588	16.8007	51.6106	14.6874	64.1772	18.7407
507	26.5073	31.4664	22.8518	35.9176	20.0575	42.4546	16.8618	51.702	14.7335	64.2541	18.7653
508	26.5939	31.5584	22.93	36.0125	20.1287	42.5503	16.923	51.7932	14.7799	64.3309	18.79
509	26.6806	31.6506	23.0084	36.1074	20.2001	42.646	16.9843	51.8845	14.8263	64.4076	18.815
510	26.7673	31.7428	23.0869	36.2023	20.2716	42.7417	17.0457	51.9757	14.8729	64.4843	18.8401
511	26.8541	31.835	23.1654	36.2973	20.3432	42.8374	17.1073	52.0668	14.9197	64.561	18.8654
512	26.941	31.9272	23.244	36.3922	20.4149	42.9331	17.169	52.1579	14.9666	64.6375	18.8908
513	27.0279	32.0195	23.3227	36.4872	20.4867	43.0288	17.2307	52.249	15.0136	64.7139	18.9164
514	27.1148	32.1118	23.4014	36.5821	20.5585	43.1244	17.2926	52.3399	15.0607	64.7903	18.9421
515	27.2018	32.2041	23.4803	36.6771	20.6305	43.22	17.3546	52.4308	15.108	64.8665	18.9679
516	27.2888	32.2964	23.5591	36.772	20.7024	43.3155	17.4166	52.5216	15.1553	64.9427	18.9939
517	27.3759	32.3887	23.6381	36.8669	20.7745	43.411	17.4788	52.6123	15.2028	65.0187	19.02
518	27.463	32.481	23.717	36.9618	20.8467	43.5064	17.541	52.7029	15.2503	65.0946	19.0462
519	27.5501	32.5733	23.796	37.0566	20.9188	43.6017	17.6033	52.7934	15.298	65.1703	19.0725
520	27.6372	32.6656	23.8751	37.1514	20.9911	43.6969	17.6657	52.8837	15.3457	65.246	19.0989
521	27.7242	32.7578	23.9541	37.246	21.0633	43.792	17.728	52.9739	15.3935	65.3214	19.1253
522	27.8113	32.8499	24.0331	37.3406	21.1356	43.887	17.7905	53.064	15.4414	65.3967	19.1518
523	27.8983	32.942	24.1122	37.4352	21.2079	43.9819	17.853	53.1539	15.4893	65.4718	19.1784
524	27.9852	33.034	24.1912	37.5295	21.2801	44.0765	17.9154	53.2435	15.5372	65.5466	19.205
525	28.0721	33.1259	24.2701	37.6237	21.3523	44.1711	17.9779	53.333	15.5852	65.6213	19.2317
526	28.1589	33.2176	24.349	37.7178	21.4245	44.2654	18.0403	53.4222	15.6331	65.6957	19.2583
527	28.2455	33.3091	24.4277	37.8116	21.4966	44.3594	18.1027	53.5111	15.681	65.7698	19.285
528	28.3321	33.4006	24.5065	37.9053	21.5687	44.4533	18.1651	53.5999	15.729	65.8438	19.3118
