#Normal incidence	
#Wavelength (nm)	Transmission
973.244507	0.772358
974.819153	0.771094
976.393677	0.770624
977.968079	0.771584
979.542358	0.772073
981.116577	0.773374
982.690735	0.772928
984.264771	0.771965
985.838684	0.771234
987.412415	0.772012
988.986145	0.772746
990.559753	0.774175
992.133179	0.773254
993.706665	0.773892
995.279907	0.774485
996.853027	0.776103
998.426147	0.776708
999.999146	0.778083
1012.878723	0.780607
1016.250183	0.781536
1019.622375	0.782415
1022.995239	0.782849
1026.368652	0.783084
1029.74292	0.783514
1033.117676	0.784635
1036.493286	0.78455
1039.869385	0.786027
1043.246338	0.787907
1046.623779	0.789297
1050.001953	0.789662
1053.380859	0.789437
1056.760498	0.79023
1060.140625	0.791701
1063.521484	0.796554
1066.903076	0.792308
1070.2854	0.80602
1073.668213	0.798106
1077.051758	0.810554
1080.436035	0.803806
1083.820923	0.814692
1087.206543	0.810291
1090.592773	0.817206
1093.979736	0.813884
1097.36731	0.819117
1100.755615	0.816262
1104.144531	0.818718
1107.53418	0.81946
1110.924438	0.820011
1114.31543	0.819527
1117.707031	0.819762
1121.099365	0.822948
1124.49231	0.818668
1127.885986	0.823836
1131.280273	0.820669
1134.675293	0.826288
1138.070923	0.820841
1141.467285	0.824877
1144.864258	0.822583
1148.261963	0.82745
1151.660278	0.824083
1155.059326	0.825186
1158.458984	0.823902
1161.859253	0.828816
1165.260376	0.824793
1168.661987	0.827942
1172.064453	0.825729
1175.467529	0.830992
1178.871216	0.825705
1182.275635	0.830791
1185.680664	0.827174
1189.086304	0.833609
1192.492798	0.827509
1195.89978	0.831102
1199.307617	0.827511
1202.716064	0.83444
1206.125122	0.827718
1209.534912	0.834201
1212.945313	0.829913
1216.356445	0.836807
1219.768188	0.83026
1223.180664	0.8341
1226.59375	0.83202
1230.007568	0.837996
1233.421997	0.832659
1236.837158	0.837514
1240.25293	0.834122
1243.669434	0.840083
1247.086548	0.834673
1250.504395	0.838328
1253.922852	0.836404
1257.342041	0.839786
1260.761841	0.83725
1264.182373	0.837784
1267.603516	0.838399
1271.025391	0.841205
1274.447998	0.839914
1277.871094	0.840923
1281.294922	0.83817
1284.719482	0.842956
1288.144775	0.839439
1291.570557	0.839802
1294.997192	0.840776
1298.424316	0.842395
1301.852295	0.841526
1305.280762	0.843991
1308.710083	0.844059
1312.139893	0.846653
1315.570557	0.84682
1319.001709	0.846563
1322.433716	0.846214
1325.866333	0.847365
1329.299561	0.844955
1332.733521	0.847378
1336.168091	0.844184
1339.603271	0.84881
1343.039307	0.846839
1346.47583	0.851117
1349.913208	0.84468
1353.351196	0.852295
1356.789795	0.846455
1360.229126	0.857372
1363.669189	0.850518
1367.109741	0.859553
1370.551025	0.854052
1373.993042	0.852458
1377.435791	0.85306
1380.87915	0.836103
1384.322998	0.849379
1387.767822	0.841572
1391.213135	0.861098
1394.65918	0.847167
1398.105835	0.865693
1401.553223	0.862477
1405.001221	0.859387
1408.449951	0.863465
1411.899292	0.858882
1415.349365	0.863434
1418.800049	0.857089
1422.251465	0.86502
1425.703491	0.8557
1429.15625	0.864136
1432.609619	0.857709
1436.063721	0.865994
1439.518555	0.85849
1442.973877	0.86604
1446.430054	0.859905
1449.886841	0.867913
1453.344238	0.862531
1456.802368	0.868718
1460.261108	0.861731
1463.720581	0.869587
1467.180786	0.860523
1470.641479	0.869721
1474.103027	0.862018
1477.565186	0.872574
1481.027954	0.861058
1484.491455	0.869721
1487.955566	0.863188
1491.42041	0.874487
1494.885986	0.86544
1498.352051	0.873235
1501.81897	0.86498
1505.286377	0.873119
1508.754639	0.870754
1512.223389	0.874278
1515.692993	0.86807
1519.163208	0.875573
1522.634033	0.870353
1526.105591	0.874926
1529.577881	0.870255
1533.050659	0.87526
1536.52417	0.869656
1539.998413	0.876619
1543.473389	0.872065
1546.948975	0.867767
1550.425171	0.874497
1553.9021	0.874588
1557.379639	0.877043
1560.85791	0.872466
1564.336792	0.880171
1567.816528	0.875224
1571.296753	0.880641
1574.777588	0.870423
1578.259277	0.881217
1581.741577	0.874668
1585.224487	0.880837
1588.708252	0.865345
1592.192505	0.879986
1595.67749	0.870915
1599.163086	0.879672
1602.649414	0.861332
1606.136475	0.879357
1609.624023	0.863995
1613.112427	0.882882
1616.601318	0.862068
1620.091064	0.877745
1623.581299	0.863437
1627.072388	0.875066
1630.564087	0.862489
1634.056396	0.863272
1637.549561	0.863938
1641.043213	0.863028
1644.537476	0.866224
1648.032593	0.862448
1651.52832	0.867198
1655.024658	0.866336
1658.521729	0.868705
1662.019531	0.867978
1665.517944	0.868522
1669.016968	0.868732
1672.516846	0.868599
1676.017212	0.866589
1679.518188	0.868563
1683.019897	0.866403
1686.522461	0.864769
