#Average polarization				Separate polarizations						
#Wavelength (nm)	55.00 incidence reflectance	65.00 incidence reflectance	75.00 incidence reflectance	Wavelength (nm)	"p-Intensity, 55.00 incidence reflectance"	"s-Intensity, 55.00 incidence reflectance"	"p-Intensity, 65.00 incidence reflectance"	"s-Intensity, 65.00 incidence reflectance"	"p-Intensity, 75 incidence reflectance"	"s-Intensity, 75 incidence reflectance"
330.641693	0.109407	0.150791	0.267997	330.641693	0.015294	0.20352	0.006273	0.295309	0.099306	0.436688
332.231964	0.11346	0.153956	0.270318	332.231964	0.016528	0.210392	0.006151	0.301761	0.098238	0.442397
333.822235	0.116953	0.157142	0.271545	333.822235	0.017736	0.216169	0.006052	0.308232	0.096976	0.446114
335.412537	0.120986	0.160352	0.273706	335.412537	0.018913	0.223059	0.005909	0.314796	0.095736	0.451675
337.002869	0.12498	0.163948	0.276142	337.002869	0.020203	0.229758	0.005829	0.322067	0.094444	0.457839
338.593231	0.129572	0.167675	0.278317	338.593231	0.021766	0.237379	0.005851	0.329499	0.093502	0.463132
340.183594	0.133931	0.171546	0.280982	340.183594	0.023272	0.24459	0.005821	0.337272	0.092091	0.469873
341.773987	0.139186	0.175761	0.283383	341.773987	0.024912	0.25346	0.00583	0.345693	0.091027	0.475739
343.36441	0.144127	0.17967	0.285889	343.36441	0.02674	0.261514	0.005809	0.353531	0.089567	0.482211
344.954865	0.149589	0.184469	0.288601	344.954865	0.028469	0.27071	0.005905	0.363033	0.088411	0.488791
346.545319	0.155644	0.189183	0.291978	346.545319	0.030353	0.280934	0.005997	0.372369	0.087191	0.496765
348.135803	0.161675	0.194601	0.29537	348.135803	0.032567	0.290784	0.006119	0.383084	0.085838	0.504902
349.726288	0.167863	0.199722	0.299191	349.726288	0.034736	0.300991	0.006321	0.393123	0.084204	0.514178
351.316833	0.174196	0.205131	0.30213	351.316833	0.036904	0.311488	0.006597	0.403666	0.082614	0.521647
352.907349	0.181124	0.210507	0.306331	352.907349	0.039407	0.322841	0.006801	0.414213	0.081661	0.531001
354.497894	0.188068	0.216404	0.310858	354.497894	0.041813	0.334322	0.007113	0.425694	0.08054	0.541175
356.088501	0.195304	0.222652	0.314527	356.088501	0.044618	0.34599	0.007477	0.437827	0.078849	0.550204
357.679108	0.202148	0.227293	0.315741	357.679108	0.047392	0.356904	0.007874	0.446711	0.076927	0.554555
359.269714	0.210387	0.234345	0.322595	359.269714	0.050361	0.370413	0.008297	0.460393	0.076247	0.568943
360.860352	0.217873	0.241742	0.329369	360.860352	0.05321	0.382536	0.008685	0.474799	0.075881	0.582857
362.450989	0.225481	0.247491	0.332737	362.450989	0.05628	0.394683	0.00918	0.485803	0.074641	0.590832
364.041687	0.233063	0.25394	0.337488	364.041687	0.059305	0.406821	0.009685	0.498194	0.073477	0.6015
365.632385	0.240696	0.259947	0.342194	365.632385	0.062624	0.418767	0.010165	0.509728	0.072586	0.611802
367.223083	0.247704	0.265439	0.34588	367.223083	0.065728	0.429681	0.010469	0.52041	0.071563	0.620198
368.813782	0.253914	0.271768	0.350478	368.813782	0.068408	0.43942	0.011005	0.532531	0.070701	0.630255
370.404541	0.260698	0.276499	0.354373	370.404541	0.071118	0.450278	0.011494	0.541504	0.069947	0.638799
371.9953	0.266607	0.281137	0.357407	371.9953	0.073763	0.459451	0.011897	0.550377	0.068905	0.645909
373.58606	0.27267	0.286536	0.361185	373.58606	0.076618	0.468722	0.012342	0.56073	0.06844	0.65393
375.176849	0.278388	0.290658	0.365276	375.176849	0.079232	0.477544	0.012769	0.568547	0.06804	0.662511
376.767639	0.283947	0.295255	0.368705	376.767639	0.081817	0.486078	0.013175	0.577335	0.067397	0.670012
378.358459	0.289243	0.299215	0.371555	378.358459	0.084319	0.494166	0.013429	0.585001	0.067011	0.676099
379.94931	0.29438	0.303234	0.37471	379.94931	0.08707	0.50169	0.013833	0.592636	0.066526	0.682893
381.540161	0.298471	0.3063	0.376919	381.540161	0.088719	0.508223	0.014039	0.598561	0.066119	0.687719
383.131042	0.302581	0.309969	0.380095	383.131042	0.090771	0.51439	0.014344	0.605594	0.065695	0.694494
384.721893	0.306234	0.312689	0.382643	384.721893	0.092593	0.519875	0.014409	0.610969	0.065443	0.699842
386.312805	0.309132	0.315389	0.383773	386.312805	0.09398	0.524285	0.014643	0.616136	0.064871	0.702675
387.903687	0.312436	0.317371	0.385679	387.903687	0.095536	0.529336	0.014763	0.619978	0.064731	0.706627
389.494598	0.314982	0.319248	0.386935	389.494598	0.096806	0.533158	0.014755	0.623741	0.064577	0.709293
391.08551	0.317644	0.321321	0.388698	391.08551	0.097946	0.537341	0.0149	0.627742	0.06425	0.713147
392.676453	0.320459	0.323505	0.391051	392.676453	0.099529	0.541389	0.014986	0.632024	0.063962	0.718139
394.267426	0.322835	0.324692	0.392204	394.267426	0.100324	0.545346	0.015014	0.634369	0.063673	0.720736
395.858398	0.324865	0.326139	0.393198	395.858398	0.101538	0.548192	0.014955	0.637323	0.063727	0.722668
397.449371	0.325775	0.326567	0.393917	397.449371	0.102195	0.549356	0.01509	0.638044	0.063379	0.724455
399.040344	0.327217	0.327925	0.394944	399.040344	0.102811	0.551623	0.014943	0.640907	0.063234	0.726653
400.631348	0.329741	0.329295	0.395693	400.631348	0.103793	0.555688	0.014889	0.6437	0.063345	0.728041
402.222351	0.330977	0.330504	0.397465	402.222351	0.104536	0.557419	0.014838	0.64617	0.063152	0.731778
403.813385	0.332756	0.331201	0.398317	403.813385	0.105419	0.560092	0.014754	0.647648	0.063271	0.733364
405.404388	0.334301	0.332015	0.398929	405.404388	0.1061	0.562502	0.014686	0.649344	0.063315	0.734544
406.995422	0.335494	0.332733	0.399634	406.995422	0.106698	0.564289	0.014662	0.650804	0.063212	0.736057
408.586487	0.336678	0.334192	0.400964	408.586487	0.10721	0.566147	0.014611	0.653774	0.063438	0.73849
410.177551	0.337803	0.334644	0.400972	410.177551	0.108024	0.567582	0.014469	0.654818	0.063316	0.738628
411.768616	0.338815	0.335005	0.401772	411.768616	0.108415	0.569216	0.014458	0.655553	0.063138	0.740407
413.35968	0.339665	0.335397	0.403354	413.35968	0.108898	0.570432	0.014278	0.656515	0.063527	0.74318
414.950745	0.340978	0.336788	0.404328	414.950745	0.109414	0.572543	0.014234	0.659342	0.063514	0.745141
416.54184	0.342004	0.337039	0.404406	416.54184	0.109861	0.574146	0.014249	0.659829	0.063478	0.745335
418.132904	0.342646	0.337357	0.405219	418.132904	0.110234	0.575059	0.014111	0.660603	0.063626	0.746812
419.72403	0.343762	0.337933	0.40567	419.72403	0.11054	0.576984	0.014022	0.661844	0.063694	0.747646
421.315125	0.343935	0.337901	0.406095	421.315125	0.110531	0.57734	0.013972	0.66183	0.063548	0.748642
422.90625	0.34494	0.338758	0.407088	422.90625	0.110814	0.579066	0.013891	0.663625	0.064009	0.750167
424.497375	0.34547	0.338635	0.406884	424.497375	0.111141	0.579799	0.013649	0.663621	0.063665	0.750103
426.088531	0.345833	0.338963	0.406824	426.088531	0.111553	0.580113	0.013703	0.664222	0.063645	0.750004
427.679626	0.346465	0.338787	0.407386	427.679626	0.111605	0.581325	0.01361	0.663963	0.06379	0.750983
429.270813	0.346994	0.339822	0.408015	429.270813	0.111906	0.582082	0.013508	0.666137	0.06394	0.75209
430.861908	0.347659	0.340362	0.409152	430.861908	0.112034	0.583284	0.013385	0.66734	0.064185	0.754119
432.453064	0.347777	0.339944	0.409371	432.453064	0.112356	0.583199	0.013338	0.66655	0.064318	0.754424
434.04425	0.348285	0.340112	0.410286	434.04425	0.112307	0.584262	0.013225	0.666998	0.064438	0.756134
435.635345	0.348586	0.34033	0.40961	435.635345	0.112237	0.584935	0.01316	0.667499	0.06435	0.754869
437.226501	0.348971	0.340937	0.41052	437.226501	0.112547	0.585396	0.013108	0.668766	0.064659	0.756381
438.817688	0.348939	0.340495	0.410716	438.817688	0.112333	0.585544	0.012936	0.668054	0.064466	0.756966
440.408844	0.349296	0.34063	0.410866	440.408844	0.112529	0.586063	0.012862	0.668398	0.064598	0.757134
442.000061	0.348931	0.340602	0.41143	442.000061	0.112179	0.585683	0.012698	0.668507	0.064997	0.757863
443.591217	0.348966	0.340207	0.410788	443.591217	0.112317	0.585615	0.012616	0.667798	0.064954	0.756622
445.182373	0.349753	0.340643	0.411167	445.182373	0.112679	0.586827	0.012551	0.668735	0.064977	0.757358
446.773529	0.349515	0.340292	0.411328	446.773529	0.112555	0.586476	0.012542	0.668042	0.065104	0.757552
448.364685	0.349682	0.341124	0.41219	448.364685	0.11212	0.587244	0.012453	0.669796	0.065331	0.759049
449.955902	0.349453	0.34029	0.412029	449.955902	0.112388	0.586518	0.012288	0.668291	0.065072	0.758986
451.547058	0.349385	0.339716	0.411974	451.547058	0.111857	0.586912	0.012238	0.667194	0.065255	0.758693
453.138245	0.350043	0.339915	0.412129	453.138245	0.112194	0.587892	0.012077	0.667754	0.065655	0.758604
454.729431	0.349123	0.340014	0.412568	454.729431	0.111701	0.586545	0.012106	0.667921	0.065828	0.759308
456.320618	0.349261	0.340135	0.412868	456.320618	0.111833	0.58669	0.012046	0.668223	0.065853	0.759884
457.911774	0.349035	0.340339	0.413687	457.911774	0.111844	0.586226	0.011855	0.668823	0.066137	0.761237
459.502991	0.348717	0.340179	0.413719	459.502991	0.111304	0.58613	0.011795	0.668562	0.066286	0.761152
461.094147	0.34932	0.340057	0.413909	461.094147	0.111411	0.587229	0.011686	0.668429	0.06659	0.761227
462.685303	0.34875	0.340006	0.414061	462.685303	0.111189	0.586311	0.011617	0.668395	0.0666	0.761522
464.276459	0.348088	0.340745	0.414618	464.276459	0.110673	0.585502	0.011524	0.669965	0.066678	0.762557
465.867676	0.347836	0.339545	0.414265	465.867676	0.110582	0.585091	0.011292	0.667798	0.06671	0.761819
467.458832	0.347919	0.339768	0.414089	467.458832	0.110652	0.585186	0.011348	0.668189	0.066965	0.761213
469.049988	0.347584	0.339395	0.414397	469.049988	0.110274	0.584894	0.011185	0.667605	0.067179	0.761616
470.641174	0.347555	0.339055	0.414107	470.641174	0.11002	0.585089	0.011113	0.666997	0.067268	0.760947
472.23233	0.34725	0.339307	0.414864	472.23233	0.109853	0.584647	0.011107	0.667507	0.067613	0.762114
473.823486	0.347239	0.339266	0.415664	473.823486	0.110037	0.58444	0.01088	0.667651	0.067695	0.763633
475.414642	0.346159	0.33884	0.415302	475.414642	0.109339	0.582979	0.010791	0.66689	0.067772	0.762831
477.005768	0.346555	0.339167	0.415431	477.005768	0.109357	0.583753	0.010664	0.667669	0.067996	0.762866
478.596924	0.346794	0.339704	0.416288	478.596924	0.109136	0.584452	0.01067	0.668739	0.068553	0.764023
480.18808	0.346311	0.339902	0.415753	480.18808	0.10882	0.583803	0.010528	0.669277	0.068178	0.763327
481.779205	0.345406	0.338567	0.415061	481.779205	0.108401	0.58241	0.010491	0.666644	0.068369	0.761753
483.3703	0.345795	0.338943	0.415793	483.3703	0.108481	0.583109	0.010381	0.667504	0.068777	0.762809
484.961487	0.346031	0.338359	0.415867	484.961487	0.108322	0.58374	0.010264	0.666455	0.06883	0.762904
486.552582	0.345644	0.338311	0.416248	486.552582	0.107988	0.5833	0.01013	0.666493	0.069118	0.763377
488.143707	0.345439	0.338324	0.416499	488.143707	0.107722	0.583155	0.010044	0.666605	0.06927	0.763727
489.734802	0.345241	0.338549	0.416847	489.734802	0.107414	0.583069	0.009968	0.667129	0.069491	0.764202
491.325867	0.344456	0.337557	0.416613	491.325867	0.107079	0.581833	0.009836	0.665278	0.0696	0.763626
