Average polarization				Separate polarizations
Wavelength (nm)	55.00 incidence reflectance	65.00 incidence reflectance	75.00 incidence reflectance	Wavelength (nm)	"p-Intensity, 55.00 incidence reflectance"	"s-Intensity, 55.00 incidence reflectance"	"p-Intensity, 65.00 incidence reflectance"	"s-Intensity, 65.00 incidence reflectance"	"p-Intensity, 75 incidence reflectance"	"s-Intensity, 75incidence reflectance"
403.813385	0.350656	0.38846	0.405446	403.813385	0.125515	0.575796	0.052387	0.724533	0.032843	0.778049
405.404388	0.352091	0.389605	0.405507	405.404388	0.126228	0.577954	0.052355	0.726856	0.031576	0.779438
406.995422	0.352245	0.390436	0.405687	406.995422	0.126349	0.57814	0.052539	0.728333	0.030386	0.780988
408.586487	0.353837	0.391485	0.405778	408.586487	0.127382	0.580292	0.052491	0.730479	0.029179	0.782377
410.177551	0.354776	0.391867	0.405206	410.177551	0.12817	0.581383	0.052472	0.731262	0.027887	0.782525
411.768616	0.355624	0.392422	0.405303	411.768616	0.12853	0.582718	0.052234	0.732609	0.026793	0.783812
413.35968	0.356484	0.39258	0.405088	413.35968	0.129316	0.583652	0.052239	0.732922	0.025644	0.784532
414.950745	0.357548	0.39349	0.404676	414.950745	0.129861	0.585235	0.051917	0.735063	0.02479	0.784562
416.54184	0.35804	0.394215	0.404935	416.54184	0.130152	0.585928	0.051929	0.736501	0.02369	0.78618
418.132904	0.358139	0.394377	0.404538	418.132904	0.130448	0.58583	0.051929	0.736825	0.022797	0.786279
419.72403	0.359672	0.395202	0.404706	419.72403	0.131179	0.588165	0.051788	0.738617	0.021784	0.787627
421.315125	0.360182	0.395974	0.404628	421.315125	0.131386	0.588978	0.051765	0.740184	0.020966	0.78829
422.90625	0.361068	0.395719	0.403219	422.90625	0.131791	0.590345	0.051382	0.740056	0.020052	0.786385
424.497375	0.361231	0.396094	0.403253	424.497375	0.131726	0.590735	0.051232	0.740956	0.019338	0.787168
426.088531	0.361312	0.396387	0.40298	426.088531	0.131546	0.591079	0.051024	0.74175	0.018602	0.787358
427.679626	0.361611	0.396165	0.40294	427.679626	0.131928	0.591294	0.050888	0.741442	0.017863	0.788018
429.270813	0.362269	0.396561	0.402749	429.270813	0.132281	0.592257	0.05071	0.742413	0.017194	0.788304
430.861908	0.361865	0.396492	0.402022	430.861908	0.132307	0.591424	0.050419	0.742565	0.0166	0.787444
432.453064	0.362672	0.397022	0.401562	432.453064	0.132274	0.593069	0.050258	0.743786	0.015925	0.787199
434.04425	0.362626	0.396881	0.401194	434.04425	0.132604	0.592648	0.049995	0.743766	0.015382	0.787006
435.635345	0.362618	0.396848	0.400684	435.635345	0.132323	0.592913	0.049702	0.743993	0.014925	0.786442
437.226501	0.363362	0.397426	0.401418	437.226501	0.132694	0.594031	0.049564	0.745288	0.014275	0.788561
438.817688	0.36375	0.397727	0.400765	438.817688	0.132785	0.594716	0.049341	0.746112	0.013854	0.787677
440.408844	0.363212	0.396386	0.399641	440.408844	0.132477	0.593948	0.048897	0.743874	0.013318	0.785964
442.000061	0.36367	0.397458	0.399809	442.000061	0.132699	0.594641	0.048767	0.746148	0.013029	0.786588
443.591217	0.364036	0.397028	0.399304	443.591217	0.132719	0.595353	0.048729	0.745328	0.01251	0.786098
445.182373	0.363183	0.396628	0.398111	445.182373	0.132328	0.594038	0.048489	0.744767	0.012118	0.784104
446.773529	0.362723	0.396481	0.398254	446.773529	0.132111	0.593334	0.048246	0.744715	0.01181	0.784699
448.364685	0.363494	0.397137	0.398204	448.364685	0.13244	0.594548	0.048046	0.746228	0.011431	0.784976
449.955902	0.36366	0.397075	0.397477	449.955902	0.132233	0.595086	0.047913	0.746237	0.011064	0.783891
451.547058	0.362884	0.396861	0.398215	451.547058	0.132034	0.593733	0.047515	0.746206	0.01073	0.7857
453.138245	0.363051	0.396273	0.397911	453.138245	0.131753	0.59435	0.047129	0.745417	0.010413	0.785408
454.729431	0.363322	0.396026	0.398191	454.729431	0.131559	0.595085	0.046918	0.745133	0.010092	0.78629
456.320618	0.362591	0.395197	0.397715	456.320618	0.131493	0.593689	0.046586	0.743807	0.009916	0.785514
457.911774	0.362865	0.395578	0.39788	457.911774	0.131338	0.594392	0.046655	0.7445	0.009682	0.786077
459.502991	0.362799	0.395613	0.398231	459.502991	0.131257	0.594342	0.045958	0.745268	0.009352	0.787111
461.094147	0.362481	0.395284	0.398364	461.094147	0.131283	0.593679	0.045912	0.744657	0.00904	0.787687
462.685303	0.362993	0.39603	0.399368	462.685303	0.130801	0.595186	0.045802	0.746258	0.008989	0.789747
464.276459	0.363192	0.395799	0.398802	464.276459	0.130953	0.595431	0.045604	0.745994	0.008712	0.788892
465.867676	0.362536	0.395431	0.397882	465.867676	0.130698	0.594374	0.045203	0.74566	0.008554	0.787209
467.458832	0.361877	0.395428	0.398505	467.458832	0.130301	0.593453	0.044977	0.745879	0.008406	0.788604
469.049988	0.360604	0.394751	0.398155	469.049988	0.129838	0.591371	0.044689	0.744812	0.008265	0.788044
470.641174	0.360011	0.394107	0.397959	470.641174	0.129042	0.590981	0.044434	0.743779	0.008103	0.787814
472.23233	0.360312	0.393599	0.398406	472.23233	0.129249	0.591375	0.044025	0.743172	0.008008	0.788803
473.823486	0.360114	0.393673	0.398676	473.823486	0.128929	0.5913	0.043773	0.743573	0.007945	0.789406
475.414642	0.359719	0.393536	0.398902	475.414642	0.128869	0.590569	0.043516	0.743556	0.007879	0.789924
477.005768	0.360057	0.394102	0.39888	477.005768	0.128614	0.591501	0.04327	0.744934	0.007807	0.789954
478.596924	0.359947	0.393417	0.398652	478.596924	0.12858	0.591314	0.043009	0.743825	0.007808	0.789497
480.18808	0.360966	0.393479	0.399034	480.18808	0.128653	0.593279	0.043029	0.74393	0.007789	0.790279
481.779205	0.359983	0.392764	0.39789	481.779205	0.127836	0.59213	0.042592	0.742936	0.007811	0.78797
483.3703	0.360268	0.393041	0.397726	483.3703	0.128124	0.592412	0.042319	0.743764	0.007862	0.787589
484.961487	0.360398	0.393004	0.398064	484.961487	0.127873	0.592923	0.042208	0.7438	0.00791	0.788218
486.552582	0.360532	0.39231	0.397568	486.552582	0.127962	0.593102	0.042006	0.742614	0.007983	0.787153
488.143707	0.358459	0.390926	0.39644	488.143707	0.126825	0.590092	0.041619	0.740233	0.008054	0.784825
489.734802	0.357858	0.391138	0.39666	489.734802	0.126219	0.589496	0.041435	0.740842	0.008083	0.785237
