Average polarization				Separate polarizations
Wavelength (nm)	55.00 deg incidence reflectance	65.00 deg incidence reflectance	75.00 deg incidence reflectance	Wavelength (nm)	"p-Intensity, 55.00 deg incidence reflectance"	"s-Intensity, 55.00 deg incidence reflectance"	"p-Intensity, 65.00 deg incidence reflectance"	"s-Intensity, 65.00 deg incidence reflectance"	"p-Intensity, 75 deg incidence reflectance"	"s-Intensity, 75 deg incidence reflectance"
303.611267	0.541968	0.563663	0.546441	303.611267	0.379521	0.704415	0.308718	0.818608	0.205287	0.887596
305.20105	0.541515	0.563214	0.544164	305.20105	0.37882	0.704209	0.307314	0.819114	0.202194	0.886133
306.790894	0.541119	0.562489	0.543239	306.790894	0.37791	0.704328	0.305742	0.819235	0.200169	0.886308
308.380768	0.539882	0.561046	0.541701	308.380768	0.376485	0.703279	0.304315	0.817777	0.197489	0.885914
309.970642	0.539895	0.560713	0.54096	309.970642	0.376143	0.703646	0.303072	0.818355	0.195068	0.886852
311.560577	0.539681	0.559982	0.539235	311.560577	0.375671	0.703692	0.301728	0.818235	0.192512	0.885957
313.150543	0.539006	0.55899	0.538052	313.150543	0.374347	0.703664	0.300439	0.817541	0.190349	0.885755
314.740509	0.53844	0.558094	0.536623	314.740509	0.373931	0.702949	0.29886	0.817329	0.187767	0.885479
316.330505	0.538709	0.557611	0.535595	316.330505	0.373649	0.703768	0.297665	0.817557	0.185452	0.885737
317.920532	0.536913	0.556554	0.533673	317.920532	0.371612	0.702213	0.296208	0.816901	0.183259	0.884087
319.51059	0.536764	0.55635	0.533345	319.51059	0.370996	0.702532	0.295346	0.817354	0.180865	0.885825
321.100677	0.536104	0.555617	0.532208	321.100677	0.370477	0.701732	0.293823	0.817411	0.178867	0.885548
322.690796	0.535176	0.554533	0.530482	322.690796	0.369191	0.701162	0.292567	0.8165	0.176581	0.884383
324.280914	0.534965	0.553949	0.529468	324.280914	0.368506	0.701425	0.291463	0.816434	0.174784	0.884152
325.871063	0.534257	0.553107	0.528499	325.871063	0.367797	0.700718	0.290305	0.815908	0.172555	0.884444
327.461243	0.533478	0.552027	0.526895	327.461243	0.366893	0.700064	0.289062	0.814992	0.170376	0.883414
329.051453	0.532403	0.550824	0.52609	329.051453	0.365604	0.699203	0.287779	0.813869	0.16869	0.88349
330.641693	0.532297	0.550262	0.524661	330.641693	0.365302	0.699292	0.28662	0.813904	0.166943	0.882379
332.231964	0.53262	0.550594	0.524636	332.231964	0.364547	0.700693	0.285844	0.815343	0.165105	0.884168
333.822235	0.53173	0.549943	0.523406	333.822235	0.363963	0.699498	0.285014	0.814871	0.163229	0.883583
335.412537	0.530357	0.548703	0.522037	335.412537	0.362696	0.698018	0.283824	0.813583	0.161594	0.88248
337.002869	0.530547	0.548381	0.52136	337.002869	0.362597	0.698496	0.282994	0.813769	0.160329	0.882391
