Average polarization				Separate polarizations						
Wavelength (nm)	55.00 incidence reflectance	65.00 incidence reflectance	75.00 incidence reflectance	Wavelength (nm)	"p-Intensity, 55.00 incidence reflectance"	"s-Intensity, 55.00 incidence reflectance"	"p-Intensity, 65.00 incidence reflectance"	"s-Intensity, 65.00 incidence reflectance"	"p-Intensity, 75 incidence reflectance"	"s-Intensity, 75incidence reflectance"
356.088501	0.4148	0.318463	0.17637	356.088501	0.315297	0.514303	0.177052	0.459873	0.005316	0.347423
357.679108	0.415715	0.318079	0.176573	357.679108	0.315882	0.515547	0.176838	0.45932	0.005218	0.347929
359.269714	0.415863	0.319612	0.178371	359.269714	0.315857	0.515868	0.176597	0.462628	0.00519	0.351553
360.860352	0.41714	0.32195	0.180113	360.860352	0.316756	0.517524	0.178147	0.465752	0.005028	0.355199
362.450989	0.418644	0.322026	0.180755	362.450989	0.318048	0.51924	0.177599	0.466452	0.005009	0.356501
364.041687	0.419802	0.323105	0.18213	364.041687	0.318782	0.520822	0.177959	0.468251	0.004874	0.359386
365.632385	0.421546	0.324205	0.182486	365.632385	0.320351	0.522741	0.178659	0.469751	0.004812	0.36016
367.223083	0.423371	0.325221	0.183307	367.223083	0.321488	0.525254	0.178677	0.471764	0.004626	0.361989
368.813782	0.42428	0.325891	0.184575	368.813782	0.322273	0.526288	0.179003	0.472779	0.00459	0.364561
370.404541	0.424857	0.327266	0.18495	370.404541	0.32198	0.527734	0.17922	0.475313	0.004524	0.365376
371.9953	0.424828	0.32811	0.186309	371.9953	0.321683	0.527973	0.179685	0.476535	0.004401	0.368217
373.58606	0.427958	0.32939	0.186769	373.58606	0.323987	0.531929	0.179853	0.478928	0.004324	0.369213
375.176849	0.429134	0.33036	0.18785	375.176849	0.325135	0.533132	0.180804	0.479917	0.004307	0.371394
376.767639	0.430117	0.331991	0.188919	376.767639	0.325957	0.534278	0.180829	0.483153	0.004309	0.373529
378.358459	0.432935	0.333502	0.190502	378.358459	0.328237	0.537633	0.182053	0.484951	0.004209	0.376795
379.94931	0.434042	0.335064	0.191055	379.94931	0.328619	0.539465	0.182651	0.487477	0.004111	0.377998
381.540161	0.436244	0.335824	0.192059	381.540161	0.330476	0.542011	0.183145	0.488502	0.004059	0.380059
383.131042	0.437677	0.337401	0.193215	383.131042	0.331819	0.543534	0.183331	0.49147	0.004007	0.382423
384.721893	0.439472	0.339185	0.194217	384.721893	0.333238	0.545706	0.184277	0.494093	0.003882	0.384553
386.312805	0.441827	0.341073	0.195798	386.312805	0.334962	0.548692	0.185172	0.496975	0.003885	0.38771
387.903687	0.443253	0.341561	0.19662	387.903687	0.335567	0.55094	0.185476	0.497647	0.003771	0.389468
389.494598	0.445791	0.343312	0.197156	389.494598	0.337268	0.554314	0.186282	0.500343	0.003732	0.390579
391.08551	0.447071	0.344668	0.198729	391.08551	0.338358	0.555784	0.187065	0.502271	0.003691	0.393767
392.676453	0.448227	0.345621	0.199384	392.676453	0.339319	0.557136	0.187548	0.503695	0.003585	0.395184
394.267426	0.449496	0.346841	0.200149	394.267426	0.340678	0.558314	0.18765	0.506031	0.003591	0.396707
395.858398	0.452085	0.348342	0.201066	395.858398	0.34233	0.56184	0.189036	0.507649	0.003563	0.398569
397.449371	0.454845	0.350398	0.202034	397.449371	0.343949	0.56574	0.189932	0.510864	0.003532	0.400536
399.040344	0.456954	0.352467	0.203539	399.040344	0.346121	0.567786	0.191273	0.513662	0.003502	0.403576
400.631348	0.45864	0.354036	0.204745	400.631348	0.34761	0.56967	0.191632	0.516441	0.003439	0.406051
402.222351	0.461229	0.355397	0.205914	402.222351	0.34925	0.573208	0.192871	0.517922	0.003383	0.408446
403.813385	0.462793	0.356914	0.207191	403.813385	0.35076	0.574827	0.193454	0.520374	0.003353	0.411029
405.404388	0.464948	0.358683	0.208191	405.404388	0.352301	0.577595	0.194718	0.522648	0.003337	0.413046
406.995422	0.466403	0.359962	0.209012	406.995422	0.353124	0.579682	0.195426	0.524499	0.003352	0.414671
408.586487	0.469179	0.361629	0.210219	408.586487	0.355777	0.582582	0.196099	0.52716	0.003318	0.41712
410.177551	0.471645	0.363507	0.211724	410.177551	0.358072	0.585218	0.197594	0.52942	0.003382	0.420067
411.768616	0.473922	0.365567	0.21299	411.768616	0.35995	0.587895	0.19859	0.532544	0.003279	0.422702
413.35968	0.475774	0.367133	0.214345	413.35968	0.361532	0.590017	0.199648	0.534619	0.003257	0.425434
414.950745	0.478529	0.369436	0.215714	414.950745	0.363518	0.59354	0.201062	0.537811	0.003261	0.428168
416.54184	0.480682	0.371129	0.216162	416.54184	0.36515	0.596214	0.201888	0.54037	0.003284	0.429039
418.132904	0.482705	0.372738	0.217926	418.132904	0.367146	0.598264	0.202675	0.542801	0.003257	0.432596
419.72403	0.48479	0.374631	0.218712	419.72403	0.368991	0.600589	0.203834	0.545428	0.003207	0.434217
421.315125	0.487351	0.376444	0.220311	421.315125	0.37117	0.603532	0.204533	0.548356	0.003168	0.437454
422.90625	0.489008	0.377686	0.2212	422.90625	0.372152	0.605864	0.205186	0.550185	0.003212	0.439188
424.497375	0.491307	0.379172	0.222592	424.497375	0.373983	0.608631	0.20639	0.551954	0.003182	0.442001
426.088531	0.49251	0.381011	0.223414	426.088531	0.374975	0.610044	0.207455	0.554566	0.003157	0.443671
427.679626	0.494286	0.381965	0.223751	427.679626	0.376329	0.612242	0.207923	0.556008	0.003163	0.444338
429.270813	0.495848	0.383305	0.225329	429.270813	0.378085	0.61361	0.208752	0.557858	0.003112	0.447546
430.861908	0.498953	0.385529	0.226745	430.861908	0.380219	0.617687	0.209777	0.561281	0.003108	0.450382
432.453064	0.501103	0.387303	0.228194	432.453064	0.381982	0.620224	0.21074	0.563866	0.003102	0.453286
434.04425	0.503182	0.388398	0.229226	434.04425	0.383826	0.622539	0.21141	0.565386	0.003109	0.455344
435.635345	0.504745	0.389614	0.229966	435.635345	0.385426	0.624064	0.212006	0.567223	0.003088	0.456843
