Opt. Const. of B-Spline vs. nm		
nm	n	k
823.239441	1.456944	0
824.822266	1.456927	0
826.404968	1.456911	0
827.987671	1.456894	0
829.570313	1.456878	0
831.152832	1.456862	0
832.735352	1.456846	0
834.317688	1.456829	0
835.900024	1.456813	0
837.4823	1.456797	0
839.064453	1.456781	0
840.646606	1.456765	0
842.228638	1.456749	0
843.810547	1.456733	0
845.392395	1.456717	0
846.974243	1.4567	0
848.555847	1.456684	0
850.137512	1.456668	0
851.719116	1.456651	0
853.300598	1.456634	0
854.882019	1.456618	0
856.463379	1.456601	0
858.044617	1.456584	0
859.625793	1.456567	0
861.206848	1.45655	0
862.787903	1.456533	0
864.368835	1.456515	0
865.949707	1.456498	0
867.530457	1.45648	0
869.111145	1.456462	0
870.691772	1.456444	0
872.272339	1.456425	0
873.852722	1.456407	0
875.433228	1.456388	0
877.013489	1.456369	0
878.593628	1.45635	0
880.173828	1.456331	0
881.753784	1.456312	0
883.333801	1.456292	0
884.913696	1.456272	0
886.493469	1.456252	0
888.073242	1.456231	0
889.652832	1.456211	0
891.2323	1.45619	0
892.811829	1.456169	0
894.391235	1.456147	0
895.97052	1.456125	0
897.549683	1.456103	0
899.128784	1.456081	0
900.707825	1.456059	0
902.286804	1.456036	0
903.865601	1.456013	0
905.444458	1.45599	0
907.023071	1.455966	0
908.601685	1.455942	0
910.180176	1.455918	0
911.758606	1.455893	0
913.336914	1.455868	0
914.915161	1.455843	0
916.493347	1.455818	0
918.071411	1.455792	0
919.649292	1.455766	0
921.227234	1.45574	0
922.804993	1.455713	0
924.38269	1.455686	0
925.960327	1.455659	0
927.537781	1.455631	0
929.115234	1.455603	0
930.692566	1.455575	0
932.269836	1.455547	0
933.846985	1.455518	0
935.424011	1.455489	0
937.000977	1.45546	0
938.57782	1.45543	0
940.154602	1.455401	0
941.731262	1.455371	0
943.307922	1.45534	0
944.884399	1.45531	0
946.460754	1.455279	0
948.036987	1.455248	0
949.613281	1.455217	0
951.189331	1.455186	0
952.76532	1.455154	0
954.341309	1.455122	0
955.917114	1.455091	0
957.492798	1.455058	0
959.068359	1.455026	0
960.643921	1.454993	0
962.21936	1.454961	0
963.794617	1.454928	0
965.369934	1.454895	0
966.945007	1.454862	0
968.52002	1.454828	0
970.09491	1.454795	0
971.6698	1.454761	0
973.244507	1.454727	0
974.819153	1.454693	0
976.393677	1.454659	0
977.968079	1.454625	0
979.542358	1.45459	0
981.116577	1.454556	0
982.690735	1.454521	0
984.264771	1.454486	0
985.838684	1.454451	0
987.412415	1.454416	0
988.986145	1.454381	0
990.559753	1.454345	0
992.133179	1.45431	0
993.706665	1.454275	0
995.279907	1.454239	0
996.853027	1.454203	0
998.426147	1.454167	0
999.999146	1.454131	0
1012.878723	1.453834	0
1016.250183	1.453756	0
1019.622375	1.453677	0
1022.995239	1.453597	0
1026.368652	1.453518	0
1029.74292	1.453438	0
1033.117676	1.453358	0
1036.493286	1.453278	0
1039.869385	1.453198	0
1043.246338	1.453117	0
1046.623779	1.453037	0
1050.001953	1.452956	0
1053.380859	1.452875	0
