Normal incidence	
Wavelength (nm)	Transmission
873.852722	0.584063
875.433228	0.588361
877.013489	0.585545
878.593628	0.583385
880.173828	0.590703
881.753784	0.590567
883.333801	0.589341
884.913696	0.59159
886.493469	0.597516
888.073242	0.597925
889.652832	0.592674
891.2323	0.596665
892.811829	0.602627
894.391235	0.602993
895.97052	0.596119
897.549683	0.593547
899.128784	0.599123
900.707825	0.604576
902.286804	0.604623
903.865601	0.603961
905.444458	0.598156
907.023071	0.599907
908.601685	0.603965
910.180176	0.60627
911.758606	0.610004
913.336914	0.613253
914.915161	0.611427
916.493347	0.610254
918.071411	0.608755
919.649292	0.606556
921.227234	0.607922
922.804993	0.609195
924.38269	0.611022
925.960327	0.6123
927.537781	0.611722
929.115234	0.613805
930.692566	0.616396
932.269836	0.613872
933.846985	0.615917
935.424011	0.619162
937.000977	0.62434
938.57782	0.626936
940.154602	0.630143
941.731262	0.629175
943.307922	0.627904
944.884399	0.628173
946.460754	0.628276
948.036987	0.627853
949.613281	0.62904
951.189331	0.631714
952.76532	0.631684
954.341309	0.631069
955.917114	0.630527
957.492798	0.633094
959.068359	0.631044
960.643921	0.631763
962.21936	0.632603
963.794617	0.634498
965.369934	0.633112
966.945007	0.63509
968.52002	0.637622
970.09491	0.637506
971.6698	0.640725
973.244507	0.642416
974.819153	0.643937
976.393677	0.640524
977.968079	0.64112
979.542358	0.639491
981.116577	0.640795
982.690735	0.64203
984.264771	0.641148
985.838684	0.64314
987.412415	0.645858
988.986145	0.646238
990.559753	0.644313
992.133179	0.646555
993.706665	0.647667
995.279907	0.646806
996.853027	0.648461
998.426147	0.648165
999.999146	0.648384
1012.878723	0.662601
1016.250183	0.660966
1019.622375	0.664048
1022.995239	0.665615
1026.368652	0.666487
1029.74292	0.66774
1033.117676	0.667935
1036.493286	0.669522
1039.869385	0.668433
1043.246338	0.671737
1046.623779	0.673107
1050.001953	0.673953
1053.380859	0.677783
1056.760498	0.678878
1060.140625	0.680068
1063.521484	0.67851
1066.903076	0.684032
1070.2854	0.684016
1073.668213	0.685541
1077.051758	0.687987
1080.436035	0.688679
1083.820923	0.688224
1087.206543	0.691272
1090.592773	0.694524
1093.979736	0.695204
1097.36731	0.694797
1100.755615	0.698928
1104.144531	0.698413
1107.53418	0.700053
1110.924438	0.700529
1114.31543	0.701226
1117.707031	0.703006
1121.099365	0.705323
1124.49231	0.708426
1127.885986	0.708187
1131.280273	0.706792
1134.675293	0.710975
1138.070923	0.713323
1141.467285	0.714358
1144.864258	0.717897
1148.261963	0.71905
1151.660278	0.719096
1155.059326	0.720477
1158.458984	0.723301
1161.859253	0.720609
1165.260376	0.721326
1168.661987	0.721385
1172.064453	0.725517
1175.467529	0.723305
1178.871216	0.724626
1182.275635	0.725792
1185.680664	0.728842
1189.086304	0.725836
1192.492798	0.727604
1195.89978	0.728958
1199.307617	0.730454
1202.716064	0.730406
1206.125122	0.733933
1209.534912	0.732473
1212.945313	0.73618
1216.356445	0.734634
1219.768188	0.736844
1223.180664	0.738456
1226.59375	0.740752
1230.007568	0.740403
1233.421997	0.742038
1236.837158	0.746304
1240.25293	0.744703
1243.669434	0.746112
1247.086548	0.746377
1250.504395	0.74656
1253.922852	0.746669
1257.342041	0.747494
1260.761841	0.747674
1264.182373	0.750548
1267.603516	0.751427
1271.025391	0.751741
1274.447998	0.757255
1277.871094	0.750768
1281.294922	0.752394
1284.719482	0.754667
1288.144775	0.757486
1291.570557	0.758199
1294.997192	0.75943
1298.424316	0.757107
1301.852295	0.758477
1305.280762	0.758743
1308.710083	0.759495
1312.139893	0.761662
1315.570557	0.762344
1319.001709	0.762152
1322.433716	0.762797
1325.866333	0.763784
1329.299561	0.766243
1332.733521	0.767573
1336.168091	0.767718
1339.603271	0.766633
1343.039307	0.768884
1346.47583	0.770216
1349.913208	0.768706
1353.351196	0.765805
1356.789795	0.770049
1360.229126	0.769203
1363.669189	0.769603
1367.109741	0.767402
1370.551025	0.770276
1373.993042	0.772246
1377.435791	0.770924
1380.87915	0.770632
1384.322998	0.772025
1387.767822	0.777455
1391.213135	0.775245
1394.65918	0.774091
1398.105835	0.777884
1401.553223	0.777256
1405.001221	0.778252
1408.449951	0.778088
1411.899292	0.780791
1415.349365	0.777587
1418.800049	0.78479
1422.251465	0.78277
1425.703491	0.782962
1429.15625	0.787794
1432.609619	0.790707
1436.063721	0.784882
1439.518555	0.78403
1442.973877	0.785393
1446.430054	0.785675
1449.886841	0.784124
1453.344238	0.788558
1456.802368	0.787008
1460.261108	0.790719
1463.720581	0.787537
1467.180786	0.790017
1470.641479	0.792892
1474.103027	0.79567
1477.565186	0.794622
1481.027954	0.79934
1484.491455	0.794642
1487.955566	0.797917
1491.42041	0.79822
1494.885986	0.799889
1498.352051	0.796608
1501.81897	0.797333
1505.286377	0.794408
1508.754639	0.79682
1512.223389	0.794465
1515.692993	0.799078
1519.163208	0.799384
1522.634033	0.799685
1526.105591	0.801224
1529.577881	0.799834
1533.050659	0.799595
1536.52417	0.800827
1539.998413	0.800746
1543.473389	0.805787
1546.948975	0.80612
1550.425171	0.810194
1553.9021	0.803569
1557.379639	0.806595
1560.85791	0.81064
1564.336792	0.80896
1567.816528	0.807114
1571.296753	0.804754
1574.777588	0.805089
1578.259277	0.807615
1581.741577	0.807944
1585.224487	0.809669
1588.708252	0.808997
1592.192505	0.814199
1595.67749	0.813803
1599.163086	0.812918
1602.649414	0.812498
1606.136475	0.813461
1609.624023	0.809232
1613.112427	0.811978
1616.601318	0.816846
1620.091064	0.818893
1623.581299	0.817376
1627.072388	0.814592
1630.564087	0.816125
1634.056396	0.817615
1637.549561	0.816978
1641.043213	0.814874
1644.537476	0.816962
1648.032593	0.818156
1651.52832	0.816861
1655.024658	0.813901
1658.521729	0.816645
1662.019531	0.819839
1665.517944	0.818026
1669.016968	0.815366
1672.516846	0.816969
1676.017212	0.814223
1679.518188	0.820799
1683.019897	0.822933
1686.522461	0.828314
